month,Biomass,Dam Hydro,Geothermal,Hard Coal,Lignite,Natural Gas,Non-renewable waste,Nuclear,Oil,Other fossil fuel,Other renewables,Pumped storage generation,Run-of-River Hydro,Solar,Wind offshore,Wind onshore
10,3536196.36,142689.78,15482.64,3551530.82,9140449.24,6107225.68,867744.77,2663678.92,42215.590000000004,383334.08,228705.04,1003299.0,1445550.94,3821082.55,2487456.64,8488928.12
11,3600449.42,104572.48,14983.199999999999,5740548.86,9741903.86,6141959.23,801034.7,2834561.45,118246.57,560191.4,283259.8,1048704.08,1192921.76,1828928.79,2844502.75,10021119.65
12,3611749.07,82886.43,15004.009999999998,6905123.57,9225649.92,8889174.53,845661.035,2628534.16,225195.49,707550.23,325136.55,1052470.0,1141573.45,667465.63,2611270.77,8691215.66
